Ticket,Open,Type,Volume,Symbol,Price,SL,TP,Close,Price,Swap,Commissions,Profit,Pips,"Trade duration in seconds"
103795102,"2025-12-17 12:59:54",sell,0.01,ETHUSD,2918.75000000,0,0,"2025-12-18 18:59:56",2943.36000000,-0.23,-0.19,-2.46000000,-24.6,108002
103019428,"2025-12-16 00:59:54",sell,0.01,ETHUSD,2950.81000000,0,0,"2025-12-18 13:59:54",2857.62000000,-0.48,-0.19,9.32000000,93.2,219600
102980287,"2025-12-15 20:59:52",sell,0.01,ETHUSD,2936.18000000,0,0,"2025-12-17 16:59:56",2992.16000000,-0.5,-0.2,-5.60000000,-56,158404
102932208,"2025-12-15 18:59:53",sell,0.01,ETHUSD,2987.69000000,0,0,"2025-12-17 03:59:54",2952.90000000,-0.5,-0.2,3.48000000,34.8,118801
102450099,"2025-12-14 13:59:50",sell,0.01,BTCUSD,89324.72000000,0,0,"2025-12-16 18:59:50",87539.20000000,-0.72,-0.57,17.86000000,1785.5,190800
102932230,"2025-12-15 18:59:57",sell,0.01,BNBUSD,852.20000000,0,0,"2025-12-16 14:59:59",868.68000000,-0.71,-0.56,-16.48000000,-16.5,72002
102456309,"2025-12-14 17:59:55",sell,0.01,ETHUSD,3082.88000000,0,0,"2025-12-15 09:59:55",3127.64000000,0,-0.2,-4.48000000,-44.8,57600
102395355,"2025-12-12 20:59:52",sell,0.01,BTCUSD,90310.81000000,0,0,"2025-12-15 08:59:51",89691.37000000,-2.25,-0.58,6.19000000,619.4,215999
102406919,"2025-12-12 21:59:56",sell,0.01,ETHUSD,3071.95000000,0,0,"2025-12-15 04:59:55",3119.04000000,-0.77,-0.2,-4.71000000,-47.1,197999
102418037,"2025-12-12 23:00:03",sell,0.01,BNBUSD,877.28000000,0,0,"2025-12-13 01:59:58",881.87000000,-2.2,-0.58,-4.59000000,-4.6,10795
101813891,"2025-12-12 00:59:56",buy,0.01,ETHUSD,3237.04000000,0,0,"2025-12-12 18:59:56",3066.62000000,0,-0.21,-17.04000000,-170.4,64800
101323909,"2025-12-11 09:59:56",sell,0.01,BNBUSD,866.91000000,0,0,"2025-12-12 03:00:01",880.76000000,-0.74,-0.57,-13.85000000,-13.9,61205
101350823,"2025-12-11 10:59:52",sell,0.01,BTCUSD,90151.99000000,0,0,"2025-12-12 01:59:50",92443.39000000,-0.77,-0.59,-22.91000000,-2291.4,53998
99423062,"2025-12-08 08:59:57",buy,0.01,ETHUSD,3129.57000000,0,0,"2025-12-11 19:00:03",3175.88000000,-0.81,-0.2,4.63000000,46.3,295206
100462026,"2025-12-09 19:59:57",buy,0.01,ETHUSD,3373.96000000,0,0,"2025-12-11 17:59:55",3178.08000000,-0.55,-0.21,-19.59000000,-195.9,165598
100504771,"2025-12-09 21:59:56",buy,0.01,ETHUSD,3357.23000000,0,0,"2025-12-11 10:59:56",3195.28000000,-0.55,-0.21,-16.20000000,-162,133200
100799347,"2025-12-10 14:59:58",buy,0.01,ETHUSD,3323.13000000,0,0,"2025-12-11 04:59:53",3208.87000000,-0.28,-0.21,-11.43000000,-114.3,50395
100799307,"2025-12-10 14:59:52",buy,0.01,BTCUSD,91962.69000000,0,0,"2025-12-10 16:59:51",91799.45000000,0,-0.6,-1.63000000,-163.2,7199
100504992,"2025-12-09 22:00:01",buy,0.01,BNBUSD,914.76000000,0,0,"2025-12-10 15:00:04",887.56000000,-0.75,-0.59,-27.20000000,-27.2,61203
99951396,"2025-12-09 04:59:51",sell,0.01,BTCUSD,90016.14000000,0,0,"2025-12-09 17:59:53",92597.43000000,0,-0.59,-25.81000000,-2581.3,46802
99911270,"2025-12-09 00:59:59",buy,0.01,BNBUSD,899.83000000,0,0,"2025-12-09 01:59:59",897.35000000,0,-0.58,-2.48000000,-2.5,3600
99516798,"2025-12-08 12:00:00",buy,0.01,BNBUSD,910.49000000,0,0,"2025-12-08 21:59:59",895.12000000,0,-0.59,-15.37000000,-15.4,35999
99279023,"2025-12-07 16:59:50",sell,0.01,BTCUSD,88208.47000000,0,0,"2025-12-08 09:59:51",91520.06000000,0,-0.59,-33.12000000,-3311.6,61201
99255330,"2025-12-06 06:59:55",sell,0.01,ETHUSD,3034.74000000,0,0,"2025-12-07 21:59:56",3136.41000000,0,-0.2,-10.17000000,-101.7,140401
99189772,"2025-12-05 19:59:51",sell,0.01,BTCUSD,89278.82000000,0,0,"2025-12-07 17:59:53",89545.01000000,-2.23,-0.58,-2.66000000,-266.2,165602
97799848,"2025-12-03 16:59:56",buy,0.01,ETHUSD,3076.26000000,0,0,"2025-12-05 21:59:57",3036.09000000,-0.52,-0.2,-4.02000000,-40.2,190801
98729111,"2025-12-05 07:59:55",buy,0.01,ETHUSD,3155.11000000,0,0,"2025-12-05 12:59:55",3133.11000000,0,-0.2,-2.20000000,-22,18000
98772204,"2025-12-05 10:00:00",buy,0.01,BNBUSD,902.34000000,0,0,"2025-12-05 12:00:00",891.42000000,0,-0.58,-10.92000000,-10.9,7200
98029178,"2025-12-04 02:59:58",buy,0.01,BNBUSD,923.07000000,0,0,"2025-12-05 01:00:00",902.66000000,-0.75,-0.59,-20.41000000,-20.4,79202
98047434,"2025-12-04 03:59:54",buy,0.01,ETHUSD,3201.22000000,0,0,"2025-12-05 00:59:55",3142.28000000,-0.26,-0.2,-5.89000000,-58.9,75601
98029146,"2025-12-04 02:59:50",buy,0.01,BTCUSD,92999.40000000,0,0,"2025-12-04 17:59:55",92957.16000000,0,-0.6,-0.42000000,-42.2,54005
